city_name	state_abbrev	county_name	latitude	longitude	timezone	dst	zipcodes	year_incorporated	year_founded
Goodnews Bay	AK	Bethel Census Area	59.125873	-161.59999	-9	1	99589	1970	
Grayling	AK	Yukon-Koyukuk Census Area	62.90813	-160.06675	-9	1	99590	1969	
Holy Cross	AK	Yukon-Koyukuk Census Area	62.198048	-159.77341	-9	1	99602	1968	
Homer	AK	Kenai Peninsula Borough	59.665074	-151.4493	-9	1	99603	1964	
Hooper Bay	AK	Kusilvak Census Area	61.52898	-166.09619	-9	1	99604	1966	
Hope	AK	Kenai Peninsula Borough	60.911003	-149.62708	-9	1	99605		
Iliamna	AK	Lake and Peninsula Borough	59.748806	-154.8124	-9	1	99606		
Karluk	AK	Kodiak Island Borough	57.578081	-154.36255	-9	1	99608		
Kasigluk	AK	Bethel Census Area	60.873178	-162.5196	-9	1	99609		
Kasilof	AK	Kenai Peninsula Borough	60.318451	-151.28948	-9	1	99610		
Kenai	AK	Kenai Peninsula Borough	60.587598	-151.23355	-9	1	99611	1960	
King Cove	AK	Aleutians East Borough	55.063736	-162.3124	-9	1	99612	1947	
King Salmon	AK	Bristol Bay Borough	58.687446	-156.64007	-9	1	99613		
Kipnuk	AK	Bethel Census Area	59.937619	-164.04392	-9	1	99614		
Kodiak	AK	Kodiak Island Borough	57.74663	-152.51142	-9	1	99615,99619,99697	1940	
Kotlik	AK	Kusilvak Census Area	62.945434	-163.76142	-9	1	99620	1970	
Kwethluk	AK	Bethel Census Area	60.810509	-161.4219	-9	1	99621	1975	
Kwigillingok	AK	Bethel Census Area	59.870295	-163.16752	-9	1	99622		
Larsen Bay	AK	Kodiak Island Borough	57.529161	-154.00286	-9	1	99624	1974	
Levelock	AK	Lake and Peninsula Borough	59.116273	-156.84802	-9	1	99625		
Lower Kalskag	AK	Bethel Census Area	61.518175	-160.37019	-9	1	99626	1969	
McGrath	AK	Yukon-Koyukuk Census Area	62.94914	-155.57265	-9	1	99627	1975	
Manokotak	AK	Dillingham Census Area	58.981087	-159.0558	-9	1	99628	1970	
Mekoryuk	AK	Bethel Census Area	60.364246	-166.28601	-9	1	99630	1969	
Moose Pass	AK	Kenai Peninsula Borough	60.499602	-149.40247	-9	1	99631		
Mountain Village	AK	Kusilvak Census Area	62.090075	-163.72393	-9	1	99632	1967	
Naknek	AK	Bristol Bay Borough	58.745436	-156.95331	-9	1	99633		
Napakiak	AK	Bethel Census Area	60.695049	-161.9909	-9	1	99634	1970	
Nikiski	AK	Kenai Peninsula Borough	60.784804	-151.06473	-9	1	99635		
New Stuyahok	AK	Dillingham Census Area	59.452339	-157.31368	-9	1	99636	1972	
Toksook Bay	AK	Bethel Census Area	60.532936	-165.10529	-9	1	99637	1972	
Nikolski	AK	Aleutians West Census Area	52.785684	-169.19469	-10	1	99638		
Ninilchik	AK	Kenai Peninsula Borough	59.992821	-151.54194	-9	1	99639	2288	
Nondalton	AK	Lake and Peninsula Borough	59.971286	-154.85008	-9	1	99640	1971	
Nunapitchuk	AK	Bethel Census Area	60.898967	-162.43712	-9	1	99641	1969	
Old Harbor	AK	Kodiak Island Borough	57.19926	-153.30438	-9	1	99643	1966	
Ouzinkie	AK	Kodiak Island Borough	57.929664	-152.46085	-9	1	99644	1967	
Palmer	AK	Matanuska-Susitna Borough	61.598203	-149.04109	-9	1	99645,99646	1951	
Pedro Bay	AK	Lake and Peninsula Borough	59.781241	-154.10833	-9	1	99647		
Perryville	AK	Lake and Peninsula Borough	55.91076	-159.15591	-9	1	99648		
Pilot Point	AK	Lake and Peninsula Borough	57.508178	-157.39907	-9	1	99649	1992	
Pilot Station	AK	Kusilvak Census Area	61.93605	-162.8834	-9	1	99650	1969	
Platinum	AK	Bethel Census Area	59.00689	-161.81529	-9	1	99651	1975	
Big Lake	AK	Matanuska-Susitna Borough	61.556311	-149.89098	-9	1	99652		
Port Alsworth	AK	Lake and Peninsula Borough	60.102331	-154.55708	-9	1	99653		
Wasilla	AK	Matanuska-Susitna Borough	61.580187	-149.48821	-9	1	99654,99687	1974	
Quinhagak	AK	Bethel Census Area	59.754016	-161.90079	-9	1	99655	1975	
Red Devil	AK	Bethel Census Area	61.810587	-157.3437	-9	1	99656		
Russian Mission	AK	Kusilvak Census Area	61.785228	-161.36476	-9	1	99657	1970	
Sand Point	AK	Aleutians East Borough	55.311735	-160.48813	-9	1	99661	1966	
Scammon Bay	AK	Kusilvak Census Area	61.783788	-165.53972	-9	1	99662	1967	
Seldovia	AK	Kenai Peninsula Borough	59.422698	-151.71513	-9	1	99663	1945	
Seward	AK	Kenai Peninsula Borough	60.151652	-149.41271	-9	1	99664	1912	
Shageluk	AK	Yukon-Koyukuk Census Area	62.655998	-159.53113	-9	1	99665	1970	
Skwentna	AK	Matanuska-Susitna Borough	61.898872	-151.51587	-9	1	99667		
Sleetmute	AK	Bethel Census Area	61.683931	-157.15202	-9	1	99668		
Soldotna	AK	Kenai Peninsula Borough	60.489536	-151.02091	-9	1	99669	1967	
South Naknek	AK	Bristol Bay Borough	58.71163	-157.01746	-9	1	99670		
Stebbins	AK	Nome Census Area	63.511893	-162.27463	-9	1	99671	1969	
Sterling	AK	Kenai Peninsula Borough	60.532394	-150.74033	-9	1	99672		
Takotna	AK	Yukon-Koyukuk Census Area	62.969642	-156.10264	-9	1	99675		
Talkeetna	AK	Matanuska-Susitna Borough	62.298254	-149.87542	-9	1	99676		
Tatitlek	AK	Valdez-Cordova Census Area	60.863764	-146.68013	-9	1	99677		
Togiak	AK	Dillingham Census Area	59.101934	-160.50353	-9	1	99678	1969	
Tuluksak	AK	Bethel Census Area	61.102912	-160.96325	-9	1	99679	1970	
Tuntutuliak	AK	Bethel Census Area	60.343879	-162.66587	-9	1	99680		
Tununak	AK	Bethel Census Area	60.582127	-165.25645	-9	1	99681		
Tyonek	AK	Kenai Peninsula Borough	61.067777	-151.14169	-9	1	99682		
Trapper Creek	AK	Matanuska-Susitna Borough	62.415294	-150.37044	-9	1	99683		
Unalakleet	AK	Nome Census Area	63.882081	-160.76294	-9	1	99684	1974	
Unalaska	AK	Aleutians West Census Area	53.872017	-166.52287	-10	1	99685	1942	
Valdez	AK	Valdez-Cordova Census Area	61.128176	-146.2357	-9	1	99686	1901	
Willow	AK	Matanuska-Susitna Borough	61.796774	-150.07792	-9	1	99688		
Yakutat	AK	Yakutat Borough	59.538728	-139.71052	-9	1	99689		
Nightmute	AK	Bethel Census Area	60.527618	-164.81976	-9	1	99690	1974	
Nikolai	AK	Yukon-Koyukuk Census Area	62.999213	-154.41957	-9	1	99691	1970	
Whittier	AK	Valdez-Cordova Census Area	60.639257	-148.54211	-9	1	99693	1969	1969
Houston	AK	Matanuska-Susitna Borough	61.629635	-149.79507	-9	1	99694	1966	
Funny River	AK	Kenai Peninsula Borough	60.516935	-150.719924	-9	1	99699		
Fairbanks	AK	Fairbanks North Star Borough	64.83507	-147.72045	-9	1	99701,99706,99707,99708,99709,99710,99711,99712,99775,99790	1903	
Eielson AFB	AK	Fairbanks North Star Borough	64.661627	-147.02121	-9	1	99702		
North Pole	AK	Fairbanks North Star Borough	64.777233	-147.3649	-9	1	99705	1953	
Salcha	AK	Fairbanks North Star Borough	64.464105	-146.91648	-9	1	99714		
Two Rivers	AK	Fairbanks North Star Borough	64.874591	-146.898195	-9	1	99716		
Allakaket	AK	Yukon-Koyukuk Census Area	66.557586	-152.6559	-9	1	99720	1975	
Anaktuvuk Pass	AK	North Slope Borough	68.148216	-151.72854	-9	1	99721	1957	1949
Arctic Village	AK	Yukon-Koyukuk Census Area	68.121828	-145.52768	-9	1	99722		
Barrow	AK	North Slope Borough	71.299525	-156.74891	-9	1	99723	1959	
Beaver	AK	Yukon-Koyukuk Census Area	66.359719	-147.39743	-9	1	99724		
Ester	AK	Fairbanks North Star Borough	64.842326	-148.02197	-9	1	99725		
Buckland	AK	Northwest Arctic Borough	65.979144	-161.12225	-9	1	99727	1966	
Cantwell	AK	Denali Borough	63.255516	-148.39873	-9	1	99729		
Central	AK	Yukon-Koyukuk Census Area	65.551022	-144.71982	-9	1	99730		
Chicken	AK	Southeast Fairbanks Census Area	64.070738	-141.87489	-9	1	99732		
Circle	AK	Yukon-Koyukuk Census Area	65.796306	-144.06388	-9	1	99733		
Prudhoe Bay	AK	North Slope Borough	66.693255	-153.993988	-9	1	99734		
Deering	AK	Northwest Arctic Borough	66.075713	-162.71822	-9	1	99736	1970	
Delta Junction	AK	Southeast Fairbanks Census Area	63.978355	-145.4623	-9	1	99737	1960	
Eagle	AK	Southeast Fairbanks Census Area	64.778099	-141.19257	-9	1	99738	1901	
Elim	AK	Nome Census Area	64.620513	-162.27718	-9	1	99739	1970	
Fort Yukon	AK	Yukon-Koyukuk Census Area	66.566652	-145.28231	-9	1	99740	1959	
Galena	AK	Yukon-Koyukuk Census Area	64.739082	-156.89456	-9	1	99741	1971	
Gambell	AK	Nome Census Area	63.776098	-171.70088	-9	1	99742	1963	
Healy	AK	Denali Borough	64.010218	-149.10712	-9	1	99743		
Anderson	AK	Denali Borough	64.349263	-149.19265	-9	1	99744	1962	
Hughes	AK	Yukon-Koyukuk Census Area	66.044094	-154.25703	-9	1	99745	1973	
Huslia	AK	Yukon-Koyukuk Census Area	65.701858	-156.38713	-9	1	99746	1969	
Kaktovik	AK	North Slope Borough	70.13346	-143.62436	-9	1	99747	1971	
Kaltag	AK	Yukon-Koyukuk Census Area	64.324887	-158.73204	-9	1	99748	1969	
Kiana	AK	Northwest Arctic Borough	66.97172	-160.43016	-9	1	99749	1964	
Kivalina	AK	Northwest Arctic Borough	67.733313	-164.54522	-9	1	99750	1969	
Kobuk	AK	Northwest Arctic Borough	66.908604	-156.88828	-9	1	99751	1973	
Kotzebue	AK	Northwest Arctic Borough	66.897192	-162.58544	-9	1	99752	1958	
Koyuk	AK	Nome Census Area	64.932225	-161.15597	-9	1	99753	1970	
Koyukuk	AK	Yukon-Koyukuk Census Area	64.881745	-157.70439	-9	1	99754	1973	
Manley Hot Springs	AK	Yukon-Koyukuk Census Area	65.021337	-150.50318	-9	1	99756		
Lake Minchumina	AK	Yukon-Koyukuk Census Area	63.893902	-152.30201	-9	1	99757		
Minto	AK	Yukon-Koyukuk Census Area	65.152583	-149.39156	-9	1	99758		
Point Lay	AK	North Slope Borough	69.741023	-163.00861	-9	1	99759		
Nenana	AK	Yukon-Koyukuk Census Area	64.560888	-149.07674	-9	1	99760	1921	
Noatak	AK	Northwest Arctic Borough	67.572031	-162.97508	-9	1	99761		
Nome	AK	Nome Census Area	64.532616	-165.10883	-9	1	99762	1901	
Noorvik	AK	Northwest Arctic Borough	66.83713	-161.03664	-9	1	99763	1964	
Northway	AK	Southeast Fairbanks Census Area	62.980725	-141.82852	-9	1	99764		
Nulato	AK	Yukon-Koyukuk Census Area	64.730035	-158.11178	-9	1	99765	1963	
Point Hope	AK	North Slope Borough	68.347052	-166.76291	-9	1	99766	1966	
Rampart	AK	Yukon-Koyukuk Census Area	65.507883	-150.1636	-9	1	99767		
Ruby	AK	Yukon-Koyukuk Census Area	64.737306	-155.48769	-9	1	99768	1973	
Savoonga	AK	Nome Census Area	63.686038	-170.4087	-9	1	99769	1969	
Selawik	AK	Northwest Arctic Borough	66.597998	-160.01772	-9	1	99770	1977	
Shaktoolik	AK	Nome Census Area	64.343258	-161.16785	-9	1	99771	1969	
Shishmaref	AK	Nome Census Area	66.259417	-165.73202	-9	1	99772	1969	
Shungnak	AK	Northwest Arctic Borough	66.887401	-157.14287	-9	1	99773	1967	
Stevens Village	AK	Yukon-Koyukuk Census Area	66.005296	-149.10303	-9	1	99774		
Tanacross	AK	Southeast Fairbanks Census Area	63.376206	-143.35699	-9	1	99776		
Tanana	AK	Yukon-Koyukuk Census Area	65.172029	-152.08258	-9	1	99777	1961	
Teller	AK	Nome Census Area	65.250432	-166.35474	-9	1	99778	1963	
Tetlin	AK	Southeast Fairbanks Census Area	63.135294	-142.5323	-9	1	99779		
Tok	AK	Southeast Fairbanks Census Area	63.341767	-142.93704	-9	1	99780		
Venetie	AK	Yukon-Koyukuk Census Area	67.015569	-146.41736	-9	1	99781		
Wainwright	AK	North Slope Borough	70.640902	-160.02481	-9	1	99782	1962	
Wales	AK	Nome Census Area	65.612116	-168.08928	-9	1	99783	1964	
White Mountain	AK	Nome Census Area	64.684323	-163.44257	-9	1	99784	1969	
Brevig Mission	AK	Nome Census Area	65.342744	-166.51023	-9	1	99785	1969	
Ambler	AK	Northwest Arctic Borough	67.083658	-157.86225	-9	1	99786	1971	
Chalkyitsik	AK	Yukon-Koyukuk Census Area	66.653222	-143.72717	-9	1	99788		
Nuiqsut	AK	North Slope Borough	70.215197	-151.02746	-9	1	99789	1975	
Atqasuk	AK	North Slope Borough	70.477663	-157.41805	-9	1	99791	1982	
Juneau	AK	Juneau City and Borough	58.358599	-134.54749	-9	1	99801,99802,99803,99811,99850	1900	
Angoon	AK	Hoonah-Angoon Census Area	57.48765	-134.57222	-9	1	99820	1963	
Elfin Cove	AK	Hoonah-Angoon Census Area	58.068878	-136.27833	-9	1	99825		
Gustavus	AK	Hoonah-Angoon Census Area	58.434052	-135.73088	-9	1	99826	2004	
Haines	AK	Haines Borough	59.279037	-135.6122	-9	1	99827	1910	
Hoonah	AK	Hoonah-Angoon Census Area	58.109608	-135.43154	-9	1	99829	1946	
Kake	AK	Petersburg Census Area	56.975011	-133.9323	-9	1	99830	1951	
Pelican	AK	Hoonah-Angoon Census Area	57.959709	-136.22032	-9	1	99832	1943	
Petersburg	AK	Petersburg Census Area	56.784206	-132.97354	-9	1	99833		
Sitka	AK	Sitka City and Borough	57.064376	-135.3227	-9	1	99835	1913	
Port Alexander	AK	Petersburg Census Area	56.53595	-132.827948	-9	1	99836	1974	
Skagway	AK	Skagway Borough	59.465159	-135.31355	-9	1	99840		1897
Tenakee Springs	AK	Hoonah-Angoon Census Area	57.777622	-135.20777	-9	1	99841	1971	
Ketchikan	AK	Ketchikan Gateway Borough	55.368644	-131.6762	-9	1	99901,99950	1900	
Meyers Chuck	AK	Wrangell City and Borough	55.742045	-132.25002	-9	1	99903		
Coffman Cove	AK	Prince of Wales-Hyder Census Area	56.009124	-132.82018	-9	1	99918	1989	1886
Thorne Bay	AK	Prince of Wales-Hyder Census Area	55.677232	-132.55624	-9	1	99919	1982	
Craig	AK	Prince of Wales-Hyder Census Area	55.456449	-133.02648	-9	1	99921	8250	1907
Hydaburg	AK	Prince of Wales-Hyder Census Area	55.209339	-132.82545	-9	1	99922	1927	
Hyder	AK	Prince of Wales-Hyder Census Area	55.941442	-130.0545	-9	1	99923		
Klawock	AK	Prince of Wales-Hyder Census Area	55.555164	-133.07316	-9	1	99925	1929	1868
Metlakatla	AK	Prince of Wales-Hyder Census Area	55.123897	-131.56883	-9	1	99926		
Point Baker	AK	Prince of Wales-Hyder Census Area	56.337957	-133.60689	-9	1	99927		
Wrangell	AK	Wrangell City and Borough	56.409507	-132.33822	-9	1	99929		
Moody	AL	Saint Clair County	33.606379	-86.50249	-6	1	35004		
Adamsville	AL	Jefferson County	33.592585	-86.95969	-6	1	35005		
Adger	AL	Jefferson County	33.451714	-87.23957	-6	1	35006		
Alabaster	AL	Shelby County	33.232422	-86.80871	-6	1	35007		
Alexander City	AL	Tallapoosa County	32.903432	-85.92669	-6	1	35010,35011		1872
Allgood	AL	Blount County	33.922162	-86.449262	-6	1	35013		
Alpine	AL	Talladega County	33.35596	-86.2772	-6	1	35014		
Alton	AL	Jefferson County	33.544622	-86.929208	-6	1	35015		
Arab	AL	Marshall County	34.323715	-86.49278	-6	1	35016		
Baileyton	AL	Cullman County	34.29254	-86.63505	-6	1	35019		
Bessemer	AL	Jefferson County	33.405559	-86.95141	-6	1	35020,35021,35022,35023		
Clanton	AL	Chilton County	32.859262	-86.638819	-6	1	35026,35045,35046	1873	1866
Blountsville	AL	Blount County	34.111425	-86.5338	-6	1	35031		
Bon Air	AL	Talladega County	33.256886	-86.338572	-6	1	35032		
Bremen	AL	Cullman County	33.952939	-87.02889	-6	1	35033		
Brent	AL	Bibb County	32.915182	-87.21488	-6	1	35034		
Brierfield	AL	Bibb County	33.041166	-86.95117	-6	1	35035		
Brookside	AL	Jefferson County	33.63815	-86.91956	-6	1	35036,35039		
Burnwell	AL	Walker County	33.804411	-87.202136	-6	1	35038		
Calera	AL	Shelby County	33.107572	-86.74996	-6	1	35040		
Centreville	AL	Bibb County	32.963486	-87.13867	-6	1	35042	1832	1823
Chelsea	AL	Shelby County	33.317093	-86.66295	-6	1	35043		
Childersburg	AL	Talladega County	33.268471	-86.35582	-6	1	35044		
Clay	AL	Jefferson County	33.544622	-86.929208	-6	1	35048		
Cleveland	AL	Blount County	33.963435	-86.5954	-6	1	35049		
Columbiana	AL	Shelby County	33.158454	-86.621931	-6	1	35050,35051		
Cook Springs	AL	Saint Clair County	33.593115	-86.4084	-6	1	35052		
Crane Hill	AL	Cullman County	34.041061	-87.06771	-6	1	35053		
Cropwell	AL	Saint Clair County	33.506012	-86.31547	-6	1	35054		
Cullman	AL	Cullman County	34.167893	-86.82506	-6	1	35055,35056,35057,35058	1878	
Docena	AL	Jefferson County	33.559455	-86.92968	-6	1	35060		
Dolomite	AL	Jefferson County	33.462541	-86.95736	-6	1	35061		
Dora	AL	Jefferson County	33.731278	-87.0361	-6	1	35062,35308		
Empire	AL	Walker County	33.805216	-87.00192	-6	1	35063		
Fairfield	AL	Jefferson County	33.476908	-86.91684	-6	1	35064		
Fultondale	AL	Jefferson County	33.611297	-86.81518	-6	1	35068		
Garden City	AL	Cullman County	34.011027	-86.74877	-6	1	35070		
Gardendale	AL	Jefferson County	33.67933	-86.8206	-6	1	35071		
Goodwater	AL	Coosa County	33.089342	-86.04682	-6	1	35072		
Graysville	AL	Jefferson County	33.640865	-86.96885	-6	1	35073		
Green Pond	AL	Bibb County	33.22584	-87.12515	-6	1	35074		
Hanceville	AL	Cullman County	34.043589	-86.80644	-6	1	35077		
Harpersville	AL	Shelby County	33.337092	-86.44085	-6	1	35078		
Hayden	AL	Blount County	33.922179	-86.7607	-6	1	35079		
Helena	AL	Shelby County	33.280625	-86.88411	-6	1	35080		
Hollins	AL	Clay County	33.116909	-86.1698	-6	1	35082		
Holly Pond	AL	Cullman County	34.198738	-86.59814	-6	1	35083		
Jemison	AL	Chilton County	32.96512	-86.74405	-6	1	35085		
Joppa	AL	Cullman County	34.303718	-86.58323	-6	1	35087		
Kellyton	AL	Coosa County	32.941708	-86.06098	-6	1	35089		
Kimberly	AL	Jefferson County	33.77109	-86.80672	-6	1	35091		
Leeds	AL	Jefferson County	33.530698	-86.55506	-6	1	35094		
Lincoln	AL	Talladega County	33.605233	-86.12079	-6	1	35096		
Locust Fork	AL	Blount County	33.896526	-86.63056	-6	1	35097		
Logan	AL	Cullman County	34.120006	-87.05075	-6	1	35098		
Margaret	AL	Saint Clair County	33.681899	-86.48237	-6	1	35112		
Maylene	AL	Shelby County	33.225377	-86.86443	-6	1	35114		
Montevallo	AL	Shelby County	33.114972	-86.8738	-6	1	35115,35715	1848	
Morris	AL	Jefferson County	33.74137	-86.78543	-6	1	35116		
Mount Olive	AL	Jefferson County	33.665823	-86.87111	-6	1	35117		
Mulga	AL	Jefferson County	33.529224	-87.01546	-6	1	35118		
New Castle	AL	Jefferson County	33.640823	-86.77574	-6	1	35119		
Odenville	AL	Saint Clair County	33.668341	-86.43641	-6	1	35120		
Oneonta	AL	Blount County	33.944897	-86.45813	-6	1	35121		
Palmerdale	AL	Jefferson County	33.544622	-86.929208	-6	1	35123		
Pelham	AL	Shelby County	33.317471	-86.78726	-6	1	35124		
Pell City	AL	Saint Clair County	33.606663	-86.28912	-6	1	35125,35128		
Pinson	AL	Jefferson County	33.728568	-86.66052	-6	1	35126		
Pleasant Grove	AL	Jefferson County	33.487675	-86.97331	-6	1	35127		
Quinton	AL	Walker County	33.640629	-87.11584	-6	1	35130		
Ragland	AL	Saint Clair County	33.721107	-86.17492	-6	1	35131		
Remlap	AL	Blount County	33.827521	-86.60703	-6	1	35133		
Riverside	AL	Saint Clair County	33.614465	-86.20067	-6	1	35135		
Rockford	AL	Coosa County	32.8697	-86.2822	-6	1	35136		
Saginaw	AL	Shelby County	33.206302	-86.781162	-6	1	35137		
Sayre	AL	Jefferson County	33.712204	-86.97203	-6	1	35139		
Shannon	AL	Jefferson County	33.406869	-86.87347	-6	1	35142		
Shelby	AL	Shelby County	33.080971	-86.53875	-6	1	35143		
Siluria	AL	Shelby County	33.28241	-86.683891	-6	1	35144		
Springville	AL	Saint Clair County	33.781133	-86.45052	-6	1	35146		
Sterrett	AL	Shelby County	33.397441	-86.54218	-6	1	35147		
Sumiton	AL	Walker County	33.753474	-87.04756	-6	1	35148		
Sycamore	AL	Talladega County	33.252906	-86.20523	-6	1	35149		
Sylacauga	AL	Talladega County	33.185782	-86.25105	-6	1	35150,35151		
Talladega	AL	Talladega County	33.415449	-86.10908	-6	1	35160,35161		
Thorsby	AL	Chilton County	32.907616	-86.71868	-6	1	35171		
Trafford	AL	Jefferson County	33.823416	-86.71537	-6	1	35172		
Trussville	AL	Jefferson County	33.623485	-86.58546	-6	1	35173		
Union Grove	AL	Marshall County	34.426844	-86.51841	-6	1	35175		
Vandiver	AL	Shelby County	33.4776	-86.5126	-6	1	35176		
Vincent	AL	Shelby County	33.414831	-86.3925	-6	1	35178		
Vinemont	AL	Cullman County	34.256106	-86.92158	-6	1	35179		
Warrior	AL	Jefferson County	33.82343	-86.81569	-6	1	35180		
Watson	AL	Jefferson County	33.544622	-86.929208	-6	1	35181		
Wattsville	AL	Saint Clair County	33.706786	-86.256658	-6	1	35182		
Weogufka	AL	Coosa County	33.016558	-86.33936	-6	1	35183		
West Blocton	AL	Bibb County	33.118259	-87.13548	-6	1	35184		
Westover	AL	Shelby County	33.335629	-86.543692	-6	1	35185		
Wilsonville	AL	Shelby County	33.241272	-86.50614	-6	1	35186		
Wilton	AL	Shelby County	33.08104	-86.879328	-6	1	35187		
Woodstock	AL	Bibb County	33.195743	-87.16252	-6	1	35188		
Birmingham	AL	Jefferson County	33.456412	-86.801904	-6	1	35201,35202,35203,35204,35205,35206,35207,35208,35209,35210,35211,35212,35213,35214,35215,35216,35217,35218,35219,35220,35221,35222,35223,35224,35225,35226,35228,35229,35230,35231,35232,35233,35234,35235,35236,35237,35238,35240,35242,35243,35244,35245,35246,35249,35253,35254,35255,35259,35260,35261,35263,35266,35277,35278,35279,35280,35281,35282,35283,35285,35286,35287,35288,35289,35290,35291,35292,35293,35294,35295,35296,35297,35298,35299	1871	
Tuscaloosa	AL	Tuscaloosa County	33.193818	-87.56843	-6	1	35401,35402,35403,35404,35405,35406,35407,35485,35486,35487	1819	
Abernant	AL	Tuscaloosa County	33.311014	-87.18975	-6	1	35440		
Akron	AL	Hale County	32.871514	-87.73326	-6	1	35441		
Aliceville	AL	Pickens County	33.095505	-88.18653	-6	1	35442		
Boligee	AL	Greene County	32.772835	-88.0321	-6	1	35443		
Brookwood	AL	Tuscaloosa County	33.276411	-87.3052	-6	1	35444		
Buhl	AL	Tuscaloosa County	33.207547	-87.75054	-6	1	35446		
Carrollton	AL	Pickens County	33.254197	-88.16866	-6	1	35447		
Clinton	AL	Greene County	32.835692	-87.956884	-6	1	35448		
Coaling	AL	Tuscaloosa County	33.135876	-87.338369	-6	1	35449		
Coker	AL	Tuscaloosa County	33.249332	-87.67217	-6	1	35452		
Cottondale	AL	Tuscaloosa County	33.170357	-87.39889	-6	1	35453		
Duncanville	AL	Tuscaloosa County	33.068806	-87.43974	-6	1	35456		
Echola	AL	Tuscaloosa County	33.301003	-87.77187	-6	1	35457		
Elrod	AL	Tuscaloosa County	33.274081	-87.80211	-6	1	35458		
Emelle	AL	Sumter County	32.80728	-88.31069	-6	1	35459		
Epes	AL	Sumter County	32.716468	-88.15261	-6	1	35460		
Ethelsville	AL	Pickens County	33.421827	-88.22013	-6	1	35461		
Eutaw	AL	Greene County	32.931143	-87.93837	-6	1	35462		
Fosters	AL	Tuscaloosa County	33.081289	-87.68988	-6	1	35463		
Gainesville	AL	Sumter County	32.811241	-88.1648	-6	1	35464		
Gordo	AL	Pickens County	33.299935	-87.88368	-6	1	35466		
Kellerman	AL	Tuscaloosa County	33.306606	-87.453224	-6	1	35468		
Knoxville	AL	Greene County	33.012557	-87.79793	-6	1	35469		
Livingston	AL	Sumter County	32.558949	-88.12485	-6	1	35470		
